flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
1,49,24,172,282,394,6,338,22,600,5,5,98.0,6.0,45.0,9,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,13,24,1,291,121,2,385,70,1200,6,6,67.0,16.0,180.0,9,0,0,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
0,21,13,282,119,385,12,143,131,800,5,30,77.0,24.0,142.0,20,6,1,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,9,5,436,341,396,0,427,166,500,6,33,97.0,1.0,100.0,14,0,2,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10
0,43,24,136,164,129,27,205,202,400,5,33,90.0,41.0,175.0,21,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,15,13,237,111,297,0,344,112,800,4,2,89.0,7.0,870.0,19,6,2,2,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10
1,22,1,436,370,220,0,465,59,15900,23,0,110.0,10.0,110.0,16,0,2,3,1,0,0,0,1,1,2,2,23,20.0,0.0,8,10
1,10,0,436,327,56,2,421,97,3500,15,19,103.0,28.0,140.0,13,0,1,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10
1,4,24,436,322,173,16,404,107,1200,5,6,62.0,18.0,90.0,12,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,29,18,436,255,353,0,348,179,1100,5,16,79.0,12.0,220.0,6,0,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
1,13,24,67,266,237,13,382,200,800,5,6,93.0,30.0,300.0,7,0,1,2,1,0,0,1,1,1,2,0,5,20.0,0.0,15,10
0,44,5,379,188,329,16,207,189,500,6,3,80.0,34.0,129.0,22,6,0,1,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10
